time/fps,reward/info_exist_reward,reward/grasp_reward,train/std,reward/static_reward,time/total_timesteps,rollout/success_rate,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,reward/goal_reward,time/time_elapsed,reward/approach_reward,train/actor_target_loss,train/ent_coef_loss,train/critic_aux_loss,train/actor_aux_loss,train/actor_loss,train/target_weight,train/ent_coef,train/aux_weight,train/learning_rate,train/critic_loss,train/n_updates,train/critic_target_loss
45,0.39,0.0,0.026023661717772484,0.0,17600,0.0,100.0,172,199.01784,0.0,389,2.6356435299960412,0.08298391744028777,-14.150426715612411,0.2826532702893019,0.21336364862509072,11.16128958761692,100.0,0.11246318416669965,100.0,0.0003,38.47841554880142,2112,0.0937213032739237
45,,,0.026023661717772484,,17600,0.0,100.0,176,199.01784,,389,,,,,,,,,,,,,
45,0.36,0.0,0.026039311662316322,0.0,18400,0.0,100.0,180,198.25998,0.0,402,2.3338182167541355,0.08207172178663313,-15.277694061398506,0.2815717104822397,0.2074136862065643,9.951012074947357,100.0,0.11038276110775769,100.0,0.0003,38.43534606695175,2176,0.09415107022505254
45,,,0.026039311662316322,,18400,0.0,100.0,184,198.25998,,402,,,,,,,,,,,,,
45,0.78,0.0,0.026073578745126724,0.0,19200,0.0,100.0,188,197.82564,0.0,424,2.469320798619106,0.07588492683134973,-14.784829780459404,0.2933277115225792,0.21538242045789957,9.254493698477745,100.0,0.1063290040474385,100.0,0.0003,39.336933970451355,2304,0.09092385205440223
45,,,0.026073578745126724,,19200,0.0,100.0,192,197.82564,,424,,,,,,,,,,,,,
44,1.53,0.0,0.026106562465429306,0.0,20000,0.0,100.0,196,196.01227,0.0,447,2.5375105689331448,0.07100541412364691,-15.908669352531433,0.29449197743088007,0.21631133533082902,7.702272318303585,100.0,0.10245991044212133,100.0,0.0003,39.19602006673813,2432,0.0881322679342702
44,,,0.026106562465429306,,20000,0.0,100.0,200,196.01227,,447,,,,,,,,,,,,,
45,0.54,0.0,0.026121867820620537,0.0,20800,0.0,100.0,204,196.00468,0.0,460,2.249238757338858,0.06884191808057949,-15.522334098815918,0.28590919310227036,0.21381450863555074,6.062557980418205,98.0,0.1004872985649854,98.0,0.0003,37.5053676366806,2496,0.08701572206337005
45,,,0.026121867820620537,,20800,0.0,100.0,208,196.00468,,460,,,,,,,,,,,,,
44,0.0,0.0,0.026151781901717186,0.0,21600,0.0,100.0,212,196.94978,0.0,482,2.219775304839922,0.06284188939025626,-15.610576555132866,0.28504290245473385,0.2107653117273003,4.2048956751823425,98.0,0.09682253864593804,98.0,0.0003,37.240492045879364,2624,0.0829091212945059
44,,,0.026151781901717186,,21600,0.0,100.0,216,196.94978,,482,,,,,,,,,,,,,
45,1.29,0.0,0.02616855688393116,0.0,22400,0.0,100.0,220,200.41428,0.0,495,2.69141394567776,0.06477599329082295,-15.450937792658806,0.28715142980217934,0.20862205000594258,3.6854761615395546,98.0,0.09506324224639684,98.0,0.0003,37.674654603004456,2688,0.08506270858924836
45,,,0.02616855688393116,,22400,0.0,100.0,224,200.41428,,495,,,,,,,,,,,,,
44,1.5,0.0,0.0261999424546957,0.0,23200,0.0,100.0,228,206.13872,0.0,517,2.6258414166120785,0.06387306336546317,-15.258465707302094,0.2840795279480517,0.20651513617485762,2.447747439146042,98.0,0.09166540636215359,98.0,0.0003,37.47693753242493,2816,0.08690080849919468
44,,,0.0261999424546957,,23200,0.0,100.0,232,206.13872,,517,,,,,,,,,,,,,
45,1.14,0.0,0.026215536519885063,0.0,24000,0.0,100.0,236,209.77788,0.0,530,2.8153523812309373,0.06224096554797143,-16.480127930641174,0.28300454979762435,0.2014917468186468,1.0976875573396683,98.0,0.08997005061246455,98.0,0.0003,37.499160289764404,2880,0.08689485630020499
45,,,0.026215536519885063,,24000,0.0,100.0,240,209.77788,,530,,,,,,,,,,,,,
44,0.81,0.0,0.02624688856303692,0.0,24800,0.0,100.0,244,212.36719,0.0,553,2.6176859543467375,0.05731627967907116,-15.56351514160633,0.2847237950190902,0.20148191694170237,-0.32843196392059326,98.0,0.08674353058449924,98.0,0.0003,37.48763692378998,3008,0.08388696156907827
44,,,0.02624688856303692,,24800,0.0,100.0,248,212.36719,,553,,,,,,,,,,,,,
45,1.05,0.0,0.026263216510415077,0.0,25600,0.0,100.0,252,213.84438,0.0,566,2.598861480230031,0.057426572195254266,-16.693038016557693,0.2807465884834528,0.20043847407214344,-1.0499142855405807,98.0,0.08517535193823278,98.0,0.0003,37.15689277648926,3072,0.08465427975170314
45,,,0.026263216510415077,,25600,0.0,100.0,256,213.84438,,566,,,,,,,,,,,,,
