time/episodes,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,train/std,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef
208,245.74709,0.0,100.0,76,271,20800,0.025656692683696747,-53.33644986152649,5.582829117774963,0.0003,4992,-23.213299036026,0.047190574929118156
212,249.34981,0.0,100.0,76,276,21200,0.025660183280706406,-54.178272008895874,4.83601376414299,0.0003,5104,-23.39865291118622,0.04580301069654524
216,250.52803,0.0,100.0,76,282,21600,0.02566111460328102,-55.24365282058716,5.403249576687813,0.0003,5200,-27.640663385391235,0.044666496105492115
220,252.68803,0.0,100.0,76,287,22000,0.025665033608675003,-55.70470070838928,4.716086313128471,0.0003,5296,-25.33812928199768,0.04349013324826956
224,252.83502,0.0,100.0,76,292,22400,0.025666000321507454,-56.716532468795776,6.829072088003159,0.0003,5392,-24.44407606124878,0.042387158842757344
228,253.67549,0.0,100.0,76,297,22800,0.02566842921078205,-58.146323919296265,7.684066712856293,0.0003,5504,-23.570505023002625,0.04114273143932223
232,254.94177,0.0,100.0,76,303,23200,0.02566748484969139,-58.97991704940796,7.268062174320221,0.0003,5600,-21.725048065185547,0.040146045153960586
236,255.05972,0.0,100.0,76,308,23600,0.02567104808986187,-60.11577272415161,6.65387299656868,0.0003,5696,-22.753625988960266,0.03923683566972613
240,256.40598,0.0,100.0,76,313,24000,0.025672968477010727,-60.888304233551025,6.720200538635254,0.0003,5792,-21.603798866271973,0.03834148100577295
244,258.47256,0.0,100.0,76,319,24400,0.025674963369965553,-62.339242696762085,6.03965425491333,0.0003,5904,-21.21588408946991,0.03729830449447036
248,259.56073,0.0,100.0,76,324,24800,0.02567591890692711,-62.96913266181946,7.153453767299652,0.0003,6000,-20.300148725509644,0.036460775416344404
252,260.4028,0.0,100.0,76,329,25200,0.025677569210529327,-63.64571738243103,7.581418871879578,0.0003,6096,-16.239835500717163,0.03569496050477028
256,263.15454,0.0,100.0,76,334,25600,0.02567875199019909,-64.77514147758484,10.590097159147263,0.0003,6192,-14.037940204143524,0.03496400243602693
260,265.1241,0.0,100.0,76,340,26000,0.025681529194116592,-65.88121724128723,7.183345228433609,0.0003,6304,-20.971572816371918,0.03415049007162452
264,264.85892,0.0,100.0,76,346,26400,0.02568427473306656,-67.05233097076416,6.8678388595581055,0.0003,6400,-18.444503664970398,0.03343406366184354
268,266.36572,0.0,100.0,76,351,26800,0.025684839114546776,-67.12715339660645,8.389567762613297,0.0003,6496,-18.302447021007538,0.03271477110683918
272,266.28464,0.0,100.0,76,356,27200,0.02568894252181053,-68.08532953262329,6.433849990367889,0.0003,6592,-17.764488756656647,0.03204613830894232
276,268.7128,0.0,100.0,76,362,27600,0.025692680850625038,-69.37720537185669,7.494054555892944,0.0003,6704,-17.640717387199402,0.03124680824112147
280,271.6781,0.0,100.0,76,367,28000,0.025695588439702988,-69.9567084312439,8.589634358882904,0.0003,6800,-19.78076070547104,0.030540173640474677
284,272.45203,0.0,100.0,76,373,28400,0.02569773979485035,-70.47235107421875,6.594521135091782,0.0003,6896,-19.53602170944214,0.029852832085452974
288,274.85272,0.0,100.0,76,378,28800,0.025700915604829788,-71.31615209579468,7.059746563434601,0.0003,6992,-17.793752670288086,0.029146379325538874
292,276.16708,0.0,100.0,76,384,29200,0.02570486254990101,-72.31476497650146,6.380416765809059,0.0003,7104,-15.900105893611908,0.028402025112882257
296,277.69226,0.0,100.0,76,389,29600,0.025710174813866615,-73.5648365020752,6.043261706829071,0.0003,7200,-15.174472987651825,0.02784734999295324
300,278.17792,0.0,100.0,76,394,30000,0.02571079507470131,-73.91762399673462,5.851305469870567,0.0003,7296,-16.322441697120667,0.02727474202401936
304,279.42676,0.0,100.0,75,400,30400,0.02571231499314308,-74.71402168273926,9.101037710905075,0.0003,7392,-15.458039462566376,0.026704371673986316
308,281.54468,0.0,100.0,75,406,30800,0.025714578106999397,-75.35574007034302,7.423871427774429,0.0003,7504,-15.79809033870697,0.026081341435201466
312,283.3341,0.0,100.0,75,411,31200,0.02571668103337288,-75.91438436508179,10.557945668697357,0.0003,7600,-5.744007080793381,0.0255629806779325
316,285.4789,0.0,100.0,75,416,31600,0.025723526254296303,-76.57319021224976,7.621100917458534,0.0003,7696,-14.717394948005676,0.02508572384249419
320,284.72144,0.0,100.0,75,421,32000,0.025723811239004135,-77.39727449417114,16.68986600637436,0.0003,7792,-3.5436469819396734,0.024623289704322815
324,284.36526,0.0,100.0,75,427,32400,0.02572009712457657,-78.59716367721558,10.966618001461029,0.0003,7904,-13.70922800898552,0.024336980772204697
328,280.95035,0.0,100.0,75,432,32800,0.02572113648056984,-79.6100845336914,10.353565961122513,0.0003,8000,-6.927347734570503,0.02401866251602769
