rollout/ep_rew_mean,time/total_timesteps,time/fps,reward/static_reward,reward/info_exist_reward,time/time_elapsed,rollout/success_rate,reward/grasp_reward,train/std,reward/approach_reward,rollout/ep_len_mean,reward/goal_reward,time/episodes,rollout/success_rate_once,train/n_updates,train/actor_loss,train/critic_loss,train/aux_weight,train/learning_rate,train/critic_aux_loss,train/actor_aux_loss,train/ent_coef_loss,train/actor_target_loss,train/critic_target_loss,train/target_weight,train/ent_coef
307.86542,1267200,41,0.0,0.27299999999999996,30559,0.24,0.06,0.1406763195991516,3.9587681027960535,100.0,0.022013419874019703,12668,0.33,158272,-162.1875500679016,70.51250863075256,28.00546374766822,0.0003,0.28648994490504265,0.08827829803340137,-0.819517008960247,0.013284910259244498,0.10229662607889622,28.00546374766822,0.03714330034563318
307.86542,1267200,41,,,30559,0.24,,0.1406763195991516,,100.0,,12672,,,,,,,,,,,,,
307.95444,1268000,41,0.0,0.3,30582,0.23,0.48,0.1405901163816452,4.4016165620630945,100.0,0.14901530661826765,12676,0.34,158400,-162.4695749282837,64.05136340856552,28.00546374766822,0.0003,0.2854842855595052,0.08823859842959791,-0.5227593071758747,0.012628150419914164,0.10163713793735951,28.00546374766822,0.03698448138311505
307.95444,1268000,41,,,30582,0.23,,0.1405901163816452,,100.0,,12680,,,,,,,,,,,,,
313.15057,1268800,41,0.0,0.3,30606,0.24,0.66,0.14057119190692902,2.6000490718910867,100.0,0.3970264560186317,12684,0.35,158528,-161.5754725933075,67.85090905427933,28.00546374766822,0.0003,0.2902392242103815,0.08743206295184791,0.21549654100090265,0.0121310539834667,0.10048152680974454,28.00546374766822,0.03696579177631065
313.15057,1268800,41,,,30606,0.24,,0.14057119190692902,,100.0,,12688,,,,,,,,,,,,,
306.68314,1269600,41,0.0,0.3,30620,0.22,1.17,0.14055941998958588,4.479353658316339,100.0,0.46924547718948423,12692,0.34,158592,-161.66754627227783,62.81679457426071,28.00546374766822,0.0003,0.28533828747458756,0.08814012899529189,0.20949095580726862,0.012455771058739629,0.10150148347020149,28.00546374766822,0.03708129393635318
306.68314,1269600,41,,,30620,0.22,,0.14055941998958588,,100.0,,12696,,,,,,,,,,,,,
306.90628,1270400,41,0.0,0.3,30643,0.23,0.0,0.1405167281627655,3.826932649693013,100.0,0.0,12700,0.35,158720,-161.96993708610535,71.43222916126251,28.00546374766822,0.0003,0.28380497358739376,0.08634160354267806,-0.3324657306075096,0.01242328506486956,0.10198089224286377,28.00546374766822,0.037051563791465014
306.90628,1270400,41,,,30643,0.23,,0.1405167281627655,,100.0,,12704,,,,,,,,,,,,,
304.7603,1271200,41,0.0,0.27,30656,0.21,0.0,0.14049988985061646,4.362146291599748,100.0,0.0,12708,0.33,158784,-161.84875416755676,61.72555083036423,28.00546374766822,0.0003,0.2873429241590202,0.08766011008992791,-0.20266605913639069,0.011709114885888994,0.09975547401700169,28.00546374766822,0.03704812872456387
304.7603,1271200,41,,,30656,0.21,,0.14049988985061646,,100.0,,12712,,,,,,,,,,,,,
310.6808,1272000,41,0.0,0.2909999999999999,30679,0.22,0.36,0.1404605656862259,3.195099555133086,100.0,0.1275071624161484,12716,0.34,158912,-162.00519633293152,63.67771953344345,28.00546374766822,0.0003,0.28732234239578247,0.08851020340807736,-0.659621732425876,0.013500159715476912,0.10003831353969872,28.00546374766822,0.03676144051132724
310.6808,1272000,41,,,30679,0.22,,0.1404605656862259,,100.0,,12720,,,,,,,,,,,,,
302.9545,1272800,41,0.0,0.3,30692,0.2,1.11,0.1404399424791336,4.659904332588329,100.0,0.4454304235027882,12724,0.3,158976,-162.24793243408203,62.574714958667755,28.00546374766822,0.0003,0.2862234218046069,0.08750323252752423,-0.2713323781499639,0.011008449917426333,0.0994513975456357,28.00546374766822,0.03663183405296877
302.9545,1272800,41,,,30692,0.2,,0.1404399424791336,,100.0,,12728,,,,,,,,,,,,,
296.04572,1273600,41,0.0,0.3,30716,0.17,0.42,0.14042899012565613,4.578821449074049,100.0,0.11674065131654096,12732,0.27,159104,-161.90686511993408,60.34035700559616,28.00546374766822,0.0003,0.2854618178680539,0.08916007063817233,0.9048633873462677,0.012371329583402257,0.10052654321771115,28.00546374766822,0.036576917162165046
296.04572,1273600,41,,,30716,0.17,,0.14042899012565613,,100.0,,12736,,,,,,,,,,,,,
