time/episodes,reward/goal_reward,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,reward/info_exist_reward,time/fps,reward/grasp_reward,reward/static_reward,train/std,time/total_timesteps,rollout/success_rate,reward/approach_reward,train/aux_weight,train/actor_aux_loss,train/target_weight,train/n_updates,train/critic_aux_loss,train/critic_loss,train/learning_rate,train/ent_coef,train/actor_target_loss,train/ent_coef_loss,train/critic_target_loss,train/actor_loss
456,,153.00783,100.0,1024,,44,,,0.02692059613764286,45600,0.0,,,,,,,,,,,,,
460,0.0,155.38194,100.0,1038,0.08399999999999999,44,0.0,0.0,0.026936279609799385,46400,0.0,2.993937655107889,96.03999999999999,0.16126535995863378,96.03999999999999,5696,0.23158050095662475,28.868212014436722,0.0003,0.03964303288375959,0.03225614404072985,-20.68052837252617,0.06591614929493517,-12.435024455189705
464,,155.38194,100.0,1038,,44,,,0.026936279609799385,46400,0.0,,,,,,,,,,,,,
468,0.0,157.19746,100.0,1061,0.153,44,0.0,0.0,0.026969807222485542,47200,0.0,2.8954109224038103,96.03999999999999,0.1621044238563627,96.03999999999999,5824,0.22957482933998108,28.537878185510635,0.0003,0.03824416646966711,0.029960793297505006,-19.99759167432785,0.06452448858181015,-13.151738077402115
472,,157.19746,100.0,1061,,44,,,0.026969807222485542,47200,0.0,,,,,,,,,,,,,
476,0.0,158.29073,100.0,1074,0.081,44,0.0,0.0,0.02698691189289093,48000,0.0,3.116650841271578,96.03999999999999,0.16420430387370288,96.03999999999999,5888,0.23272457998245955,28.98027241230011,0.0003,0.03758250694954768,0.03144398677977733,-20.659759253263474,0.06586710753617808,-13.106553599238396
480,,158.29073,100.0,1074,,44,,,0.02698691189289093,48000,0.0,,,,,,,,,,,,,
484,0.0,159.19048,100.0,1096,0.08399999999999999,44,0.0,0.0,0.027016520500183105,48800,0.0,2.878759002909407,96.03999999999999,0.16087841405533254,96.03999999999999,6016,0.23060610401444137,28.431025713682175,0.0003,0.03624025412136689,0.029009827907430008,-20.39214678108692,0.06197100254939869,-14.237671911716461
488,,159.19048,100.0,1096,,44,,,0.027016520500183105,48800,0.0,,,,,,,,,,,,,
492,0.0,159.30034,100.0,1109,0.07499999999999998,44,0.0,0.0,0.02703266404569149,49600,0.0,3.197823009190413,96.03999999999999,0.163949967129156,96.03999999999999,6080,0.2310612869914621,28.405870139598846,0.0003,0.035606188990641385,0.029870913946069777,-20.759725123643875,0.06162825913634151,-14.166652023792267
496,,159.30034,100.0,1109,,44,,,0.02703266404569149,49600,0.0,,,,,,,,,,,,,
500,0.0,159.93358,100.0,1131,0.147,44,0.0,0.0,0.027065154165029526,50400,0.0,3.119848844298866,96.03999999999999,0.1597003263887018,96.03999999999999,6208,0.23185418639332056,28.556384950876236,0.0003,0.03437752585159615,0.028191403456730768,-22.15971390902996,0.062047828163485974,-15.291954562067986
504,,159.93358,100.0,1131,,44,,,0.027065154165029526,50400,0.0,,,,,,,,,,,,,
508,0.0,160.98906,100.0,1145,0.132,44,0.0,0.0,0.02708146721124649,51200,0.0,3.4608354487438175,96.03999999999999,0.16121358354575932,96.03999999999999,6272,0.23212425969541073,28.3646382689476,0.0003,0.03374737489502877,0.027187465952010825,-19.993491232395172,0.05978229973698035,-15.52087576687336
512,,160.98906,100.0,1145,,44,,,0.02708146721124649,51200,0.0,,,,,,,,,,,,,
516,0.0,162.61127,100.0,1167,0.11699999999999999,44,0.0,0.0,0.02711397595703602,52000,0.0,3.1311096431797067,96.03999999999999,0.16031844075769186,96.03999999999999,6400,0.23194502666592598,28.428615987300873,0.0003,0.03262482373975217,0.027850254497025162,-20.386752113699913,0.06046209193300456,-16.130604565143585
520,,162.61127,100.0,1167,,44,,,0.02711397595703602,52000,0.0,,,,,,,,,,,,,
524,0.0,163.47414,100.0,1189,0.06599999999999999,44,0.0,0.0,0.02714606747031212,52800,0.0,2.527038784846266,96.03999999999999,0.16190811176784337,96.03999999999999,6528,0.2355384964030236,28.83651453256607,0.0003,0.0315570950624533,0.030265068606240675,-18.978133395314217,0.06065822846721858,-16.279390439391136
528,,163.47414,100.0,1189,,44,,,0.02714606747031212,52800,0.0,,,,,,,,,,,,,
