rollout/ep_len_mean,time/total_timesteps,train/std,rollout/ep_rew_mean,rollout/success_rate,time/episodes,time/fps,time/time_elapsed,reward/info_exist_reward,reward/grasp_reward,reward/approach_reward,rollout/success_rate_once,reward/goal_reward,reward/static_reward,train/aux_weight,train/target_weight,train/actor_target_loss,train/critic_aux_loss,train/critic_target_loss,train/ent_coef,train/actor_loss,train/critic_loss,train/n_updates,train/actor_aux_loss,train/ent_coef_loss,train/learning_rate
100.0,1588000,0.13993357121944427,289.6623,0.19,15876,41,38287,0.29699999999999993,0.51,4.047748370655096,0.32,0.22048552500306698,0.0,20.270290824698026,20.270290824698026,0.008787823582679266,0.32209210097789764,0.09999900124967098,0.0350734168314375,-149.30405449867249,52.37357044219971,198400,0.0986426854506135,1.083967439364642,0.0003
100.0,1588000,0.13993357121944427,289.6623,0.19,15880,41,38287,,,,,,,,,,,,,,,,,,
100.0,1588800,0.1399078071117401,286.9793,0.19,15884,41,38309,0.264,0.15,3.4505338756232815,0.31,0.09227137860414013,0.0,20.270290824698026,20.270290824698026,0.009963925593183376,0.3211690532043576,0.09988426661584526,0.03524966206168756,-150.08678317070007,50.60808968544006,198528,0.09863803465850651,0.13844382006209344,0.0003
100.0,1588800,0.1399078071117401,286.9793,0.19,15888,41,38309,,,,,,,,,,,,,,,,,,
100.0,1589600,0.13987427949905396,291.0232,0.2,15892,41,38322,0.27899999999999997,0.51,3.6588477066978267,0.32,0.23614082639163242,0.0,20.270290824698026,20.270290824698026,0.009857302939053625,0.3217712896876037,0.09817148419097066,0.03520405915332958,-149.8694772720337,49.41991430521011,198592,0.09894055617041886,-0.3154966835863888,0.0003
100.0,1589600,0.13987427949905396,291.0232,0.2,15896,41,38322,,,,,,,,,,,,,,,,,,
100.0,1590400,0.13984832167625427,297.54736,0.21,15900,41,38346,0.26099999999999995,0.0,2.9004040856546265,0.33,0.0,0.0,20.270290824698026,20.270290824698026,0.011302466155029833,0.3182494197972119,0.10244596120901406,0.03527175943600014,-149.71379852294922,50.52688902616501,198720,0.099726113374345,0.4050005613826215,0.0003
100.0,1590400,0.13984832167625427,297.54736,0.21,15904,41,38346,,,,,,,,,,,,,,,,,,
100.0,1591200,0.13985507190227509,296.93707,0.22,15908,41,38360,0.3,0.24,3.354861917986822,0.34,0.14557615414484495,0.0,20.270290824698026,20.270290824698026,0.010952351323794574,0.32130794087424874,0.10099104512482882,0.03534821653738618,-150.58826279640198,50.76206690073013,198784,0.09940368449315429,0.11624043539632112,0.0003
100.0,1591200,0.13985507190227509,296.93707,0.22,15912,41,38360,,,,,,,,,,,,,,,,,,
100.0,1592000,0.13987019658088684,298.09656,0.21,15916,41,38382,0.294,0.3,3.164529191005214,0.35,0.18921015665461546,0.0,20.270290824698026,20.270290824698026,0.011323005928716157,0.31628970289602876,0.10183954809326679,0.035435683908872306,-150.32899975776672,53.75578290224075,198912,0.09907066158484668,0.4212825100403279,0.0003
100.0,1592000,0.13987019658088684,298.09656,0.21,15920,41,38382,,,,,,,,,,,,,,,,,,
100.0,1592800,0.1398530751466751,297.84583,0.22,15924,41,38396,0.26099999999999995,0.72,3.0861072976262034,0.34,0.256821328888582,0.0,20.270290824698026,20.270290824698026,0.010941788830677979,0.32485924754291773,0.10130360862240195,0.03547448746394366,-150.01519989967346,50.09537070989609,198976,0.09852200525347143,-0.19500293279998004,0.0003
100.0,1592800,0.1398530751466751,297.84583,0.22,15928,41,38396,,,,,,,,,,,,,,,,,,
100.0,1593600,0.13983748853206635,298.64902,0.22,15932,41,38420,0.3,0.39,4.0603538283111815,0.34,0.21451058782489724,0.0,20.270290824698026,20.270290824698026,0.011170058860443532,0.32326057041063905,0.10213443834800273,0.03548359783599153,-149.80529952049255,52.27899408340454,199104,0.09981797880027443,1.3325451526325196,0.0003
100.0,1593600,0.13983748853206635,298.64902,0.22,15936,41,38420,,,,,,,,,,,,,,,,,,
100.0,1594400,0.1398136466741562,299.2951,0.22,15940,41,38443,0.3,1.38,4.515998649569287,0.34,0.5257651549442405,0.0,20.270290824698026,20.270290824698026,0.010384129120211583,0.32303283270448446,0.09961779823061079,0.035590085899457335,-149.69003796577454,49.73767530918121,199232,0.1011135361623019,-0.43943826551549137,0.0003
100.0,1594400,0.1398136466741562,299.2951,0.22,15944,41,38443,,,,,,,,,,,,,,,,,,
100.0,1595200,0.13980600237846375,299.68033,0.22,15948,41,38457,0.29699999999999993,0.99,3.7428529349236266,0.33,0.44793308434009105,0.0,20.270290824698026,20.270290824698026,0.010875737687456422,0.3235505037009716,0.1002334636868909,0.035576256981585175,-150.16896986961365,49.7638076543808,199296,0.1012091493466869,0.027405646163970232,0.0003
100.0,1595200,0.13980600237846375,299.68033,0.22,15952,41,38457,,,,,,,,,,,,,,,,,,
100.0,1596000,0.13980218768119812,299.9997,0.22,15956,41,38479,0.3,0.75,3.9451885455737745,0.33,0.2645974084643404,0.0,20.270290824698026,20.270290824698026,0.011528046576131601,0.323777936398983,0.09954880166333169,0.035525955783668905,-149.66868352890015,49.53638017177582,199424,0.10175925656221807,-0.4316524798050523,0.0003
100.0,1596000,0.13980218768119812,299.9997,0.22,15960,41,38479,,,,,,,,,,,,,,,,,,
100.0,1596800,0.13979272544384003,295.25394,0.21,15964,41,38493,0.3,0.6,3.72003519750931,0.33,0.3553740487070043,0.0,20.270290824698026,20.270290824698026,0.010195222457696218,0.3231956269592047,0.10007360193412751,0.0354603590676561,-150.14778232574463,48.76917767524719,199488,0.09903712861705571,-0.5912635282147676,0.0003
100.0,1596800,0.13979272544384003,295.25394,0.21,15968,41,38493,,,,,,,,,,,,,,,,,,
100.0,1597600,0.13980841636657715,293.38464,0.2,15972,41,38515,0.3,0.0,3.932591146334539,0.31,0.0,0.0,20.270290824698026,20.270290824698026,0.010679937906388659,0.3255716636776924,0.10008471668697894,0.03531242493772879,-149.54631328582764,48.55157536268234,199616,0.09976344835013151,-0.8093281441251747,0.0003
100.0,1597600,0.13980841636657715,293.38464,0.2,15976,41,38515,,,,,,,,,,,,,,,,,,
100.0,1598400,0.13980527222156525,294.18127,0.2,15980,41,38529,0.3,0.18,4.5107068388238325,0.32,0.058245993972863896,0.0,20.270290824698026,20.270290824698026,0.009939523210050538,0.327066732570529,0.09969160077162087,0.03519968001637608,-149.0204930305481,47.84780412912369,199680,0.10028278909157962,-0.9815218031872064,0.0003
100.0,1598400,0.13980527222156525,294.18127,0.2,15984,41,38529,,,,,,,,,,,,,,,,,,
100.0,1599200,0.1398078054189682,293.7848,0.19,15988,41,38553,0.3,0.15,3.8023749209223583,0.32,0.045830022362452955,0.0,20.270290824698026,20.270290824698026,0.01085814419639064,0.32710731914266944,0.10021499439608306,0.03510095312958583,-149.17284631729126,49.74890345335007,199808,0.10090636007953435,0.36497977608814836,0.0003
100.0,1599200,0.1398078054189682,293.7848,0.19,15992,41,38553,,,,,,,,,,,,,,,,,,
100.0,1600000,0.13979575037956238,292.18408,0.2,15996,41,38566,0.3,0.0,2.734607290889373,0.32,0.0,0.0,20.270290824698026,20.270290824698026,0.012115114128391724,0.3233058676123619,0.10281761188525707,0.03517311060568318,-149.2159719467163,48.87426799535751,199872,0.09940877044573426,-0.3183413714868948,0.0003
100.0,1600000,0.13979575037956238,292.18408,0.2,16000,41,38566,,,,,,,,,,,,,,,,,,
100.0,1600800,0.13976772129535675,290.3089,0.19,16004,41,38589,0.3,0.75,4.219640360934305,0.31,0.3017046948605104,0.0,19.864885008204062,19.864885008204062,0.010085099482239457,0.328368725720793,0.10173127439338714,0.03498845250578597,-149.20347571372986,49.21766000986099,200000,0.09997627488337457,-0.8159570137504488,0.0003
100.0,1600800,0.13976772129535675,290.3089,0.19,16008,41,38589,,,,,,,,,,,,,,,,,,
