time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/std,rollout/ep_len_mean,time/total_timesteps,rollout/success_rate,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/critic_loss
496,122,297.58655,403,0.025698069483041763,100.0,49600,0.0,12192,-102.66120195388794,0.0003,-5.765595134347677,0.013426096469629556,5.16652674973011
500,122,301.19272,407,0.02569369599223137,100.0,50000,0.0,12304,-103.05451107025146,0.0003,-1.2710023615509272,0.013279126374982297,4.52000518143177
504,122,301.58618,410,0.02569131925702095,100.0,50400,0.0,12400,-103.53214883804321,0.0003,-5.688085860572755,0.013185848772991449,5.076833546161652
508,122,303.20108,413,0.02569207176566124,100.0,50800,0.0,12496,-104.33023309707642,0.0003,-1.3181637693196535,0.013055382471065968,4.575320914387703
512,122,303.60187,416,0.02569306083023548,100.0,51200,0.0,12592,-104.6371898651123,0.0003,-1.2288652770221233,0.012951729004271328,4.603629156947136
516,122,302.4422,420,0.025689978152513504,100.0,51600,0.0,12704,-105.61794757843018,0.0003,-4.965467385947704,0.012805827602278441,4.36594757437706
520,122,301.10043,423,0.02568897232413292,100.0,52000,0.0,12800,-105.34984493255615,0.0003,-1.3624623995274305,0.01274018466938287,5.985233440995216
524,122,301.76544,427,0.025685124099254608,100.0,52400,0.0,12896,-106.0785026550293,0.0003,1.1709019793197513,0.012615937797818333,4.9121372401714325
528,122,303.00906,430,0.02568030171096325,100.0,52800,0.0,12992,-106.91151428222656,0.0003,-3.336415061727166,0.012465611449442804,4.43867851793766
532,122,304.84436,434,0.025672055780887604,100.0,53200,0.0,13104,-107.35452032089233,0.0003,0.7386542037129402,0.012401499319821596,5.018530234694481
536,122,304.1918,437,0.025670252740383148,100.0,53600,0.0,13200,-107.80881786346436,0.0003,0.1945461630821228,0.01244996371679008,5.2045578956604
540,122,303.13907,441,0.025669576600193977,100.0,54000,0.0,13296,-107.78264570236206,0.0003,-0.19229690171778202,0.012438435747753829,11.572539508342743
544,122,297.73712,444,0.025655608624219894,100.0,54400,0.0,13392,-109.25881910324097,0.0003,6.774075832217932,0.01252748747356236,6.080333054065704
548,122,297.47266,448,0.025663603097200394,100.0,54800,0.0,13504,-109.68008756637573,0.0003,2.202948259189725,0.012763648817781359,4.523756191134453
552,122,297.7337,451,0.02566404826939106,100.0,55200,0.0,13600,-110.41194820404053,0.0003,0.7110114376991987,0.012780312215909362,4.17838841676712
556,122,297.88644,454,0.02567058429121971,100.0,55600,0.0,13696,-110.59658193588257,0.0003,-0.26054918207228184,0.012841265124734491,5.007478266954422
560,122,295.2727,458,0.025672761723399162,100.0,56000,0.0,13792,-110.55746507644653,0.0003,0.7552468571811914,0.012892716040369123,4.437042251229286
564,122,292.42465,461,0.02566095069050789,100.0,56400,0.0,13904,-111.65754175186157,0.0003,7.7138983607292175,0.013174368010368198,8.76861634850502
568,122,291.17065,465,0.02566242404282093,100.0,56800,0.0,14000,-112.75857782363892,0.0003,10.883708626031876,0.013704188459087163,6.412873297929764
572,122,292.79315,468,0.025669259950518608,100.0,57200,0.0,14096,-113.33890724182129,0.0003,8.128075439482927,0.01410371414385736,4.78256767988205
576,122,292.07516,471,0.025670159608125687,100.0,57600,0.0,14192,-114.10828113555908,0.0003,-0.6209640130400658,0.014274561428464949,4.702058553695679
580,122,291.02637,474,0.025673802942037582,100.0,58000,0.0,14304,-115.09103298187256,0.0003,1.3596971556544304,0.014265714795328677,4.494968757033348
584,122,289.96356,478,0.025675637647509575,100.0,58400,0.0,14400,-115.18888711929321,0.0003,0.8644912838935852,0.014221699209883809,4.429920479655266
588,122,288.68585,481,0.025673527270555496,100.0,58800,0.0,14496,-115.4263277053833,0.0003,-0.19071071967482567,0.01419576641637832,4.495816677808762
592,122,287.16772,485,0.02566550485789776,100.0,59200,0.0,14592,-115.73706150054932,0.0003,1.8573768809437752,0.014223705569747835,6.806003898382187
596,121,282.84714,488,0.02565629966557026,100.0,59600,0.0,14704,-116.58719730377197,0.0003,10.889661192893982,0.014664228598121554,9.85407304763794
600,122,279.99628,491,0.025661688297986984,100.0,60000,0.0,14800,-117.12300968170166,0.0003,6.917846545577049,0.015142616000957787,6.373223960399628
604,121,279.06494,495,0.025674544274806976,100.0,60400,0.0,14896,-117.90422248840332,0.0003,1.1940728574991226,0.015379727235995233,5.196609675884247
608,121,277.34894,498,0.025677284225821495,100.0,60800,0.0,14992,-118.27042484283447,0.0003,-1.6804169937968254,0.015357461990788579,4.786964923143387
612,121,278.07513,502,0.025680696591734886,100.0,61200,0.0,15104,-118.97226428985596,0.0003,3.4116457104682922,0.01539904938545078,5.702344447374344
616,121,278.2793,505,0.025687498971819878,100.0,61600,0.0,15200,-119.60110473632812,0.0003,-3.631725311279297,0.015405327023472637,3.9675983637571335
620,121,278.81345,509,0.025689831003546715,100.0,62000,0.0,15296,-119.90231466293335,0.0003,-0.9675930738449097,0.015237194311339408,5.160685747861862
624,121,281.95337,513,0.02569020353257656,100.0,62400,0.0,15392,-120.34814119338989,0.0003,-0.9546160139143467,0.015108648978639394,3.340043067932129
628,121,283.67526,517,0.025691237300634384,100.0,62800,0.0,15504,-120.33745336532593,0.0003,-2.801513195037842,0.014946751296520233,3.7356744408607483
632,121,285.02765,521,0.025684641674160957,100.0,63200,0.0,15600,-121.12902927398682,0.0003,-3.0294307991862297,0.01482710923301056,4.077292427420616
636,121,285.37415,525,0.025679269805550575,100.0,63600,0.0,15696,-121.17714071273804,0.0003,4.04841722548008,0.014881026931107044,4.083154127001762
640,120,287.64343,529,0.025681037455797195,100.0,64000,0.0,15792,-122.03976535797119,0.0003,2.9227054975926876,0.014975596219301224,4.038614571094513
644,120,295.75372,533,0.025681955739855766,100.0,64400,0.0,15904,-122.16040468215942,0.0003,-0.1663888394832611,0.01507428998593241,4.28804250061512
648,120,298.6316,536,0.025682833045721054,100.0,64800,0.0,16000,-122.61083602905273,0.0003,0.5622933814302087,0.015163211850449443,4.9140253365039825
652,120,301.41583,540,0.025677599012851715,100.0,65200,0.0,16096,-123.15027618408203,0.0003,2.0994919147342443,0.01520851842360571,3.8335403949022293
656,120,304.30417,543,0.025680623948574066,100.0,65600,0.0,16192,-123.3962459564209,0.0003,0.8634711839258671,0.015336851472966373,4.230324879288673
660,120,308.4263,548,0.02567785046994686,100.0,66000,0.0,16304,-123.69415950775146,0.0003,2.1682202629745007,0.015465891221538186,5.192027032375336
664,120,312.19067,552,0.025675376877188683,100.0,66400,0.0,16400,-124.3822193145752,0.0003,2.4348170831799507,0.01557649380993098,4.140076190233231
668,120,316.26663,555,0.02567789889872074,100.0,66800,0.0,16496,-124.35668706893921,0.0003,1.7399439625442028,0.015754194580949843,4.547205105423927
672,120,317.48724,559,0.025681022554636,100.0,67200,0.0,16592,-124.6236162185669,0.0003,1.7967442348599434,0.01592595491092652,5.049987927079201
676,119,319.434,563,0.02567811869084835,100.0,67600,0.0,16704,-125.15831804275513,0.0003,0.9430774301290512,0.016147235524840653,5.236476093530655
680,119,323.09213,566,0.025679273530840874,100.0,68000,0.0,16800,-125.58898782730103,0.0003,0.5689276810735464,0.016259775962680578,5.520246922969818
684,119,327.54816,570,0.025680454447865486,100.0,68400,0.0,16896,-126.17192029953003,0.0003,1.643709346652031,0.01642319664824754,5.319468483328819
688,119,329.61234,573,0.025683991611003876,100.0,68800,0.0,16992,-126.64357709884644,0.0003,4.058560788631439,0.016728304559364915,6.319415420293808
692,119,331.92883,578,0.025680802762508392,100.0,69200,0.0,17104,-127.60333490371704,0.0003,7.62168288230896,0.017002318636514246,7.591202288866043
696,119,337.20993,582,0.025684157386422157,100.0,69600,0.0,17200,-128.37404012680054,0.0003,4.186041038483381,0.017588681424967945,6.234315633773804
700,119,338.601,586,0.02567659690976143,100.0,70000,0.0,17296,-128.57646989822388,0.0003,4.9240142442286015,0.0178190846927464,9.49231630563736
704,119,336.20245,589,0.025678135454654694,100.0,70400,0.0,17392,-129.10615634918213,0.0003,4.389821224845946,0.018234021379612386,5.628134608268738
708,119,337.5476,593,0.02568325586616993,100.0,70800,0.0,17504,-129.78906631469727,0.0003,1.9409490041434765,0.01829922094475478,4.952902629971504
712,119,338.9806,596,0.025692379102110863,100.0,71200,0.0,17600,-129.94475650787354,0.0003,-2.413360945880413,0.018213566043414176,5.667750924825668
716,119,342.0251,600,0.02569422498345375,100.0,71600,0.0,17696,-130.54739093780518,0.0003,-0.29683974385261536,0.01806036231573671,5.115096181631088
720,119,344.6534,604,0.025693539530038834,100.0,72000,0.0,17792,-131.0763120651245,0.0003,-0.40947721898555756,0.017888482427224517,10.617069512605667
724,118,342.65402,608,0.025686318054795265,100.0,72400,0.0,17904,-132.16290187835693,0.0003,8.695641785860062,0.018424551817588508,6.652412563562393
728,118,341.32852,612,0.025684932246804237,100.0,72800,0.0,18000,-132.03361701965332,0.0003,8.632049158215523,0.01902887981850654,8.755295425653458
732,118,340.689,616,0.02569144405424595,100.0,73200,0.0,18096,-133.01004123687744,0.0003,1.2537804394960403,0.019497048226185143,6.764986097812653
