rollout/ep_rew_mean,time/time_elapsed,rollout/success_rate,time/total_timesteps,reward/goal_reward,rollout/ep_len_mean,time/fps,train/std,reward/approach_reward,reward/static_reward,reward/grasp_reward,time/episodes,reward/info_exist_reward,train/critic_aux_loss,train/learning_rate,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/n_updates,train/actor_aux_loss,train/aux_weight,train/target_weight,train/actor_target_loss,train/ent_coef,train/critic_target_loss
147.42729,384,0.0,17600,0.0,100.0,45,0.026011107489466667,2.6268198293606586,0.0,0.0,172,0.09300000000000001,0.28790158592164516,0.0003,38.526361882686615,13.421113014221191,-15.15068182349205,2112,0.18346440186724067,100.0,100.0,0.08072785916738212,0.11143722757697105,0.09560968726873398
147.42729,384,0.0,17600,,100.0,45,0.026011107489466667,,,,176,,,,,,,,,,,,,
146.98755,397,0.0,18400,0.0,100.0,46,0.026026446372270584,2.4743504637401807,0.0,0.0,180,0.056999999999999995,0.2850066148675978,0.0003,37.996385514736176,12.404586493968964,-16.238751396536827,2176,0.1817194176837802,100.0,100.0,0.0771989367203787,0.10934065678156912,0.09351413475815207
146.98755,397,0.0,18400,,100.0,46,0.026026446372270584,,,,184,,,,,,,,,,,,,
146.3631,419,0.0,19200,0.0,100.0,45,0.02605813555419445,2.5568328606033703,0.0,0.0,188,0.12599999999999997,0.28070905385538936,0.0003,37.2722944021225,10.8771001547575,-15.779054313898087,2304,0.18027880927547812,100.0,100.0,0.07059777004178613,0.10525834572035819,0.09053128678351641
146.3631,419,0.0,19200,,100.0,45,0.02605813555419445,,,,192,,,,,,,,,,,,,
144.86455,441,0.0,20000,0.0,100.0,45,0.026089098304510117,2.436602476421085,0.0,0.0,196,0.09,0.28764239232987165,0.0003,37.85567307472229,10.166111789643764,-16.977175816893578,2432,0.18558333441615105,100.0,100.0,0.06660436629317701,0.10140136675909162,0.08938119921367615
144.86455,441,0.0,20000,,100.0,45,0.026089098304510117,,,,200,,,,,,,,,,,,,
145.29874,454,0.0,20800,0.0,100.0,45,0.026104064658284187,2.937328665851135,0.0,0.0,204,0.04499999999999999,0.287330009508878,0.0003,36.964872777462006,9.360887318849564,-16.765601366758347,2496,0.18844265188090503,98.0,98.0,0.06426960392855108,0.09941554768010974,0.08800486056134105
145.29874,454,0.0,20800,,100.0,45,0.026104064658284187,,,,208,,,,,,,,,,,,,
145.90843,476,0.0,21600,0.0,100.0,45,0.026134068146348,2.3767912442805654,0.0,0.0,212,0.07199999999999998,0.2764010983519256,0.0003,35.43584448099136,6.784842267632484,-16.721441328525543,2624,0.17694616713561118,98.0,98.0,0.05703366355737671,0.09572932578157634,0.08354637795127928
145.90843,476,0.0,21600,,100.0,45,0.026134068146348,,,,216,,,,,,,,,,,,,
146.56985,489,0.0,22400,0.0,100.0,45,0.026150139048695564,2.5508881802718286,0.0,0.0,220,0.18599999999999997,0.27804720448330045,0.0003,35.859588623046875,6.831266798079014,-16.651151224970818,2688,0.17963522556237876,98.0,98.0,0.05855157086625695,0.09396095992997289,0.08619140030350536
146.56985,489,0.0,22400,,100.0,45,0.026150139048695564,,,,224,,,,,,,,,,,,,
145.5097,512,0.0,23200,0.0,100.0,45,0.026181349530816078,2.3911846801580423,0.0,0.0,228,0.15,0.27453826228156686,0.0003,35.61855089664459,5.685303084552288,-16.30244532227516,2816,0.1749979262240231,98.0,98.0,0.05862365453504026,0.09052521910052747,0.08739864954259247
145.5097,512,0.0,23200,,100.0,45,0.026181349530816078,,,,232,,,,,,,,,,,,,
144.3572,525,0.0,24000,0.0,100.0,45,0.026196284219622612,2.826983755924922,0.0,0.0,236,0.03899999999999999,0.275254612788558,0.0003,35.69015824794769,5.023909118026495,-17.37016785144806,2880,0.17434764932841063,98.0,98.0,0.05711039976449683,0.08885720407124609,0.08718127175234258
144.3572,525,0.0,24000,,100.0,45,0.026196284219622612,,,,240,,,,,,,,,,,,,
144.80872,547,0.0,24800,0.0,100.0,45,0.02622644230723381,2.6301248161744657,0.0,0.0,244,0.096,0.2737543545663357,0.0003,35.30818861722946,3.724838502705097,-16.693428054451942,3008,0.17274748487398028,98.0,98.0,0.052216799929738045,0.0856733376858756,0.08480354584753513
144.80872,547,0.0,24800,,100.0,45,0.02622644230723381,,,,248,,,,,,,,,,,,,
145.7929,560,0.0,25600,0.0,100.0,45,0.026242021471261978,2.9013453401691036,0.0,0.0,252,0.03599999999999999,0.2704477761872113,0.0003,35.09483712911606,3.240322671830654,-17.290393114089966,3072,0.17154881497845054,98.0,98.0,0.0522051117150113,0.08412867865990847,0.08570411591790617
