#{"t_start": 1788151086.452667, "env_id": null}
r,l,t
206.60048,100,3295.162323
168.09323,100,3295.162339
198.72852,100,3317.649206
225.51463,100,3317.649302
200.0185,100,3317.649324
224.18013,100,3317.649342
240.13264,100,3317.649358
247.44624,100,3317.649374
195.90869,100,3317.649389
199.92653,100,3317.649405
210.23254,100,3331.493983
196.71931,100,3331.494077
185.86174,100,3331.4941
146.23466,100,3331.494118
254.87433,100,3331.494135
215.29112,100,3331.494152
200.84471,100,3331.494168
197.70741,100,3331.494184
184.99649,100,3354.809019
238.16806,100,3354.809087
172.94293,100,3354.809099
173.68741,100,3354.809107
178.7092,100,3354.809116
216.84453,100,3354.809125
238.63768,100,3354.809134
228.11461,100,3354.809141
198.05972,100,3367.802887
196.35213,100,3367.802979
216.42181,100,3367.803
243.53278,100,3367.803015
242.36256,100,3367.803031
206.88303,100,3367.803045
177.65947,100,3367.80306
224.11937,100,3367.803075
203.52057,100,3390.78873
175.90114,100,3390.788808
190.22336,100,3390.788833
241.87772,100,3390.788842
165.73804,100,3390.788851
213.92949,100,3390.788859
162.08008,100,3390.788867
227.69266,100,3390.788876
228.19936,100,3413.74639
204.34534,100,3413.746467
213.28291,100,3413.746481
220.99132,100,3413.74649
147.34686,100,3413.7465
220.91978,100,3413.74651
170.55423,100,3413.74652
225.14635,100,3413.74653
185.84856,100,3426.521026
235.59901,100,3426.521119
179.50208,100,3426.521142
224.85202,100,3426.521159
241.59215,100,3426.521175
189.93715,100,3426.521191
206.56973,100,3426.521207
154.56062,100,3426.521223
154.72276,100,3449.986862
213.37479,100,3449.986949
218.08752,100,3449.986969
200.9702,100,3449.986985
217.15414,100,3449.987
209.43582,100,3449.987015
237.48721,100,3449.98703
210.44719,100,3449.987045
195.68575,100,3463.441483
236.11061,100,3463.441572
201.16954,100,3463.441594
202.88644,100,3463.441611
259.98355,100,3463.441627
238.9527,100,3463.441643
218.52145,100,3463.441658
216.36014,100,3463.441674
220.35297,100,3485.889942
250.00429,100,3485.890032
207.43452,100,3485.890055
213.5603,100,3485.890072
211.66718,100,3485.890089
234.56694,100,3485.890105
237.38931,100,3485.890121
216.56245,100,3485.890137
209.82782,100,3499.188066
132.02754,100,3499.188142
245.64796,100,3499.188154
152.73418,100,3499.188164
202.99464,100,3499.188173
181.69933,100,3499.188182
226.914,100,3499.18819
216.74593,100,3499.188199
189.90202,100,3521.69197
212.99934,100,3521.692066
226.83144,100,3521.692087
252.01782,100,3521.692103
226.56796,100,3521.692119
198.63792,100,3521.692133
243.49579,100,3521.692148
215.181,100,3521.692163
246.64157,100,3535.513789
188.58963,100,3535.513891
242.53362,100,3535.513913
247.4853,100,3535.513931
154.50882,100,3535.513947
214.0569,100,3535.513963
230.27866,100,3535.513978
239.33514,100,3535.513994
224.27429,100,3559.431931
216.01466,100,3559.432026
163.40266,100,3559.432049
287.95633,100,3559.432067
221.28145,100,3559.432083
266.77505,100,3559.4321
235.83607,100,3559.432116
211.34686,100,3559.432133
221.89963,100,3582.800265
226.51053,100,3582.800341
235.70813,100,3582.800354
218.7749,100,3582.800364
207.1941,100,3582.800374
210.96317,100,3582.800383
154.35857,100,3582.800403
206.97934,100,3582.800412
233.28749,100,3596.985735
230.34094,100,3596.985809
162.22002,100,3596.98586
184.23407,100,3596.985871
293.3334,100,3596.98588
166.1473,100,3596.985889
198.37892,100,3596.985898
243.44232,100,3596.985907
205.27841,100,3620.988497
221.93668,100,3620.98859
218.66919,100,3620.988614
205.80301,100,3620.98863
181.19673,100,3620.988645
250.72911,100,3620.988661
239.07321,100,3620.988676
240.48875,100,3620.988691
250.1584,100,3634.681284
161.51308,100,3634.681356
203.08897,100,3634.681368
237.19104,100,3634.681378
232.57697,100,3634.681388
228.35336,100,3634.681397
181.69926,100,3634.681406
216.85284,100,3634.681415
196.20131,100,3658.011627
215.29175,100,3658.011702
195.26291,100,3658.011715
198.36632,100,3658.011725
208.83856,100,3658.011734
231.43542,100,3658.011743
246.06715,100,3658.011751
214.93831,100,3658.01176
223.10495,100,3671.185091
256.90076,100,3671.185181
263.5214,100,3671.185201
215.08937,100,3671.185216
229.97847,100,3671.185231
199.09729,100,3671.185245
226.10294,100,3671.185259
223.0463,100,3671.185273
314.73547,100,3695.593873
221.55278,100,3695.593963
231.76529,100,3695.593984
216.92578,100,3695.594
240.19476,100,3695.594016
197.98257,100,3695.594032
248.0432,100,3695.594047
225.94734,100,3695.594062
224.99324,100,3718.692328
255.44907,100,3718.692404
224.72299,100,3718.692417
225.9247,100,3718.692427
252.08492,100,3718.692436
251.908,100,3718.692445
218.0003,100,3718.692454
213.2833,100,3718.692462
206.48404,100,3732.398599
233.69273,100,3732.398674
183.92554,100,3732.398688
176.06581,100,3732.398698
215.21056,100,3732.398707
212.3911,100,3732.398717
223.90558,100,3732.398726
214.27188,100,3732.398735
217.6263,100,3754.988492
222.433,100,3754.988583
244.07254,100,3754.988605
185.31828,100,3754.988622
249.05746,100,3754.988639
206.38997,100,3754.988654
225.51596,100,3754.98867
251.30847,100,3754.988685
237.62784,100,3768.520949
241.83777,100,3768.521021
197.64651,100,3768.521033
215.59929,100,3768.521042
222.60997,100,3768.521051
234.68578,100,3768.52106
217.5421,100,3768.521068
258.1368,100,3768.521077
224.46071,100,3792.706614
250.17929,100,3792.706712
232.39331,100,3792.706733
222.94186,100,3792.70675
253.21388,100,3792.706766
192.37962,100,3792.706782
217.72867,100,3792.706797
240.05832,100,3792.706822
209.71036,100,3806.270707
242.86009,100,3806.270797
240.34087,100,3806.270833
205.41898,100,3806.27085
229.0347,100,3806.270867
210.00183,100,3806.270882
211.83179,100,3806.270898
163.28775,100,3806.270914
204.4428,100,3829.228405
242.37933,100,3829.228498
237.14377,100,3829.22852
226.9885,100,3829.228537
227.02213,100,3829.228553
216.52026,100,3829.228568
