time/fps,train/std,time/time_elapsed,rollout/success_rate,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/target_weight,train/critic_aux_loss,train/n_updates,train/actor_loss,train/actor_aux_loss,train/aux_weight,train/ent_coef_loss,train/learning_rate,train/critic_target_loss,train/actor_target_loss,train/ent_coef,train/critic_loss
46,0.026362232863903046,608,0.0,28000,276,250.75937,100.0,98.0,0.267743153963238,3392,-10.980974525213242,0.17046564654447138,98.0,-17.167563915252686,0.0003,0.08016696549020708,0.04634251457173377,0.07683690579142421,36.0139285326004
46,0.026362232863903046,608,0.0,28000,280,250.75937,100.0,,,,,,,,,,,,
45,0.026395143941044807,629,0.0,28800,284,250.20195,100.0,98.0,0.26359620899893343,3520,-12.281054571270943,0.17328281258232892,98.0,-16.538357436656952,0.0003,0.07864589337259531,0.0430440793861635,0.07417650101706386,35.748805701732635
45,0.026395143941044807,629,0.0,28800,288,250.20195,100.0,,,,,,,,,,,,
46,0.02641216851770878,642,0.0,29600,292,248.6402,100.0,98.0,0.2683248887769878,3584,-11.977526918053627,0.17898154933936894,98.0,-16.636870115995407,0.0003,0.07942001987248659,0.04516046220669523,0.07289535494055599,36.29341858625412
46,0.02641216851770878,642,0.0,29600,296,248.6402,100.0,,,,,,,,,,,,
45,0.026448599994182587,664,0.0,30400,300,252.07469,100.0,98.0,0.26421103929169476,3712,-13.317208722233772,0.1769596382509917,98.0,-15.936130598187447,0.0003,0.07984086382202804,0.045174323429819196,0.07035694504156709,35.76543748378754
45,0.026448599994182587,664,0.0,30400,304,252.07469,100.0,,,,,,,,,,,,
46,0.026465432718396187,676,0.0,31200,308,256.75198,100.0,98.0,0.26214095018804073,3776,-15.442785739898682,0.16855807485990226,98.0,-17.725395306944847,0.0003,0.07601636473555118,0.04035280825337395,0.06916155759245157,35.3473896086216
46,0.026465432718396187,676,0.0,31200,312,256.75198,100.0,,,,,,,,,,,,
45,0.026495816186070442,699,0.0,32000,316,258.7383,100.0,98.0,0.2534685346763581,3904,-17.068694904446602,0.16567208524793386,98.0,-17.627521693706512,0.0003,0.07357600377872586,0.039480049221310765,0.06667310418561101,34.09374579787254
45,0.026495816186070442,699,0.0,32000,320,258.7383,100.0,,,,,,,,,,,,
45,0.026529202237725258,721,0.0,32800,324,260.2118,100.0,98.0,0.2518943198956549,4032,-18.190285190939903,0.16923448839224875,98.0,-16.815583303570747,0.0003,0.0702843489125371,0.037150412041228265,0.06439617392607033,33.66539341211319
45,0.026529202237725258,721,0.0,32800,328,260.2118,100.0,,,,,,,,,,,,
45,0.026546509936451912,733,0.0,33600,332,264.68304,100.0,98.0,0.24955918500199914,4096,-17.465769067406654,0.17999803135171533,98.0,-16.60185346752405,0.0003,0.07239587843650952,0.0406932360783685,0.06333051098044962,33.63386368751526
45,0.026546509936451912,733,0.0,33600,336,264.68304,100.0,,,,,,,,,,,,
45,0.02658086270093918,755,0.0,34400,340,264.90207,100.0,98.0,0.2464756651315838,4224,-19.439953058958054,0.17550297221168876,98.0,-14.762622743844986,0.0003,0.07013981370255351,0.03752136995899491,0.06134262925479561,33.07701489329338
45,0.02658086270093918,755,0.0,34400,344,264.90207,100.0,,,,,,,,,,,,
